Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6330,The Best of Roald Dahl,Roald Dahl,"Dahl, Roald",,"=""0679729917""","=""9780679729914""",0,4.38,Vintage Books,Paperback,520,1990,1978,,2018/12/10,,,read,,,,1,0
29780253,Born a Crime: Stories from a South African Childhood,Trevor Noah,"Noah, Trevor",,"=""0385689225""","=""9780385689229""",5,4.49,Doubleday Canada,Hardcover,289,2016,2016,,2018/12/10,,,read,,,,1,0
17860372,A House in the Sky: A Memoir,Amanda Lindhout,"Lindhout, Amanda",Sara Corbett,"=""1442367490""","=""9781442367494""",0,4.28,Simon  Schuster Audio,Audiobook,14,2013,2013,,2018/12/07,to-read,to-read (#9),to-read,,,,0,0
30842,Riot,Shashi Tharoor,"Tharoor, Shashi",,"=""0143030906""","=""9780143030904""",3,3.76,Penguin Books,Paperback,272,2003,2001,,2018/12/07,,,read,,,,1,0
596027,"The Cult at the End of the World: The Terrifying Story of the Aum Doomsday Cult, from the Subways of Tokyo to the Nuclear Arsenals of Russia",David E. Kaplan,"Kaplan, David E.",Andrew   Marshall,"=""0517705435""","=""9780517705438""",0,3.92,Crown,Hardcover,310,1996,1996,,2018/09/02,to-read,to-read (#8),to-read,,,,0,0
168760,Shockwave: Countdown to Hiroshima – The Dramatic True Story of the Atomic Bombing that Ended WWII and Defined the 20th Century,Stephen Walker,"Walker, Stephen",,"=""0060742852""","=""9780060742850""",0,4.43,Harper Perennial,Paperback,400,2006,2005,,2018/09/02,to-read,to-read (#7),to-read,,,,0,0
25578942,"Passport to Hiroshima: The Unthinkable, Inspiring Journey of a Japanese-American Family - Based on a True Story",Toshiharu Kano,"Kano, Toshiharu",Rita Kano,"=""1511992301""","=""9781511992305""",0,4.25,Createspace,Paperback,374,2015,2015,,2018/09/02,to-read,to-read (#6),to-read,,,,0,0
31685789,Room,Emma Donoghue,"Donoghue, Emma",,"=""""","=""""",4,4.08,"Little, Brown and Company",Kindle Edition,321,2010,2010,,2018/08/28,,,read,,,,1,0
1149440,Heavier Than Heaven: A Biography of Kurt Cobain,Charles R. Cross,"Cross, Charles R.",,"=""0786865059""","=""9780786865055""",0,4.12,Hyperion,Hardcover,381,2001,2001,,2018/08/28,to-read,to-read (#5),to-read,,,,0,0
104961,Come As You Are: The Story of Nirvana,Michael Azerrad,"Azerrad, Michael",,"=""0385471998""","=""9780385471992""",0,4.07,Crown,Paperback,355,1993,1993,,2018/08/28,to-read,to-read (#4),to-read,,,,0,0
16115612,And the Mountains Echoed,Khaled Hosseini,"Hosseini, Khaled",,"=""159463176X""","=""9781594631764""",0,4.08,Riverhead Books,Hardcover,404,2013,2012,,2018/08/28,,,read,,,,1,0
77203,The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",,"=""159463193X""","=""9781594631931""",0,4.36,Riverhead Books,Paperback,371,2004,2003,,2014/04/07,,,read,,,,1,0
128029,A Thousand Splendid Suns,Khaled Hosseini,"Hosseini, Khaled",,"=""1594489505""","=""9781594489501""",4,4.45,Riverhead Books,Hardcover,372,2007,2007,,2018/08/28,,,read,,,,1,0
40961427,1984,George Orwell,"Orwell, George",,"=""""","=""""",0,4.20,Houghton Mifflin Harcourt,ebook,298,2013,1949,,2018/08/28,currently-reading,currently-reading (#1),currently-reading,,,,1,0
75703,"English, August: An Indian Story",Upamanyu Chatterjee,"Chatterjee, Upamanyu",Akhil Sharma,"=""1590171799""","=""9781590171790""",4,3.78,New York Review of Books,Paperback,326,2006,1988,,2018/08/28,,,read,,,,1,0
12384322,Narcopolis,Jeet Thayil,"Thayil, Jeet",,"=""0571275761""","=""9780571275762""",0,3.44,Faber & Faber,Paperback,292,2012,2012,,2018/08/26,to-read,to-read (#3),to-read,,,,0,0
